#   R_nom       meanR       meanlogR        xi        sigma_xi      weight       npairs   
  4.4991e-02   4.4991e-02  -3.1013e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  5.2455e-02   5.2455e-02  -2.9478e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  6.1158e-02   6.1158e-02  -2.7943e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  7.1305e-02   7.1305e-02  -2.6408e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  8.3136e-02   8.3136e-02  -2.4873e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  9.6929e-02   9.6929e-02  -2.3338e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  1.1301e-01   1.1301e-01  -2.1803e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  1.3176e-01   1.3176e-01  -2.0268e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  1.5362e-01   1.5362e-01  -1.8733e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  1.7911e-01   1.7911e-01  -1.7197e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  2.0883e-01   2.0883e-01  -1.5662e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  2.4348e-01   2.4348e-01  -1.4127e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  2.8387e-01   2.8387e-01  -1.2592e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  3.3097e-01   3.3097e-01  -1.1057e+00   0.0000e+00   0.0000e+00   0.0000e+00   0.0000e+00
  3.8588e-01   3.9693e-01  -9.2442e-01   1.5991e+00   8.0258e-01   8.0310e+03   8.0310e+03
  4.4991e-01   4.6010e-01  -7.7648e-01   7.6441e-01   2.1210e-01   1.1500e+05   1.1500e+05
  5.2455e-01   5.3772e-01  -6.2098e-01   5.3340e-01   4.0027e-01   3.2289e+04   3.2289e+04
  6.1158e-01   6.1680e-01  -4.8392e-01   1.1404e+00   2.9570e-01   5.9164e+04   5.9164e+04
  7.1305e-01   7.0358e-01  -3.5242e-01   8.7965e-01   3.1414e-01   5.2420e+04   5.2420e+04
  8.3136e-01   8.3073e-01  -1.8659e-01   6.1309e-01   3.4591e-01   4.3233e+04   4.3233e+04
  9.6929e-01   9.5701e-01  -4.4831e-02   8.4631e-01   1.4375e-01   2.5034e+05   2.5034e+05
  1.1301e+00   1.1239e+00   1.1571e-01   1.0566e+00   1.6969e-01   1.7965e+05   1.7965e+05
  1.3176e+00   1.3597e+00   3.0657e-01   8.0236e-01   1.2823e-01   3.1461e+05   3.1461e+05
  1.5362e+00   1.5389e+00   4.3019e-01   1.0240e+00   1.2180e-01   3.4870e+05   3.4870e+05
  1.7911e+00   1.8243e+00   6.0046e-01   1.0449e+00   9.8030e-02   5.3831e+05   5.3831e+05
  2.0883e+00   2.0826e+00   7.3258e-01   1.0170e+00   9.7208e-02   5.4745e+05   5.4745e+05
  2.4348e+00   2.4269e+00   8.8564e-01   1.0228e+00   7.0342e-02   1.0455e+06   1.0455e+06
  2.8387e+00   2.8452e+00   1.0448e+00   1.0792e+00   6.3548e-02   1.2810e+06   1.2810e+06
  3.3097e+00   3.3203e+00   1.1992e+00   1.1242e+00   5.4781e-02   1.7238e+06   1.7238e+06
  3.8588e+00   3.8797e+00   1.3548e+00   1.1750e+00   4.6158e-02   2.4280e+06   2.4280e+06
