#   R_nom       meanR       meanlogR        xi        sigma_xi        DD           RR           DR         npairs   
  5.2455e-02   5.4651e-02  -2.9152e+00   2.0124e-01   2.0124e-03   2.9698e+05   2.4694e+05   2.4711e+05   2.6105e+05
  8.3136e-02   8.6679e-02  -2.4539e+00   1.4333e-01   1.2727e-03   7.0635e+05   6.1740e+05   6.1763e+05   6.2242e+05
  1.3176e-01   1.3735e-01  -1.9936e+00   1.0497e-01   8.0556e-04   1.7033e+06   1.5410e+06   1.5413e+06   1.5028e+06
  2.0883e-01   2.1779e-01  -1.5326e+00   7.3368e-02   5.1025e-04   4.1231e+06   3.8409e+06   3.8411e+06   3.6403e+06
  3.3097e-01   3.4531e-01  -1.0717e+00   4.8844e-02   3.2253e-04   1.0084e+07   9.6129e+06   9.6136e+06   8.9165e+06
  5.2455e-01   5.4716e-01  -6.1138e-01   2.9356e-02   2.0401e-04   2.4735e+07   2.4026e+07   2.4028e+07   2.1900e+07
  8.3136e-01   8.6755e-01  -1.5044e-01   1.5871e-02   1.2923e-04   6.0835e+07   5.9879e+07   5.9882e+07   5.3908e+07
  1.3176e+00   1.3749e+00   3.1002e-01   7.5421e-03   8.1938e-05   1.5004e+08   1.4895e+08   1.4893e+08   1.3305e+08
  2.0883e+00   2.1792e+00   7.7061e-01   2.8619e-03   5.2039e-05   3.7014e+08   3.6927e+08   3.6918e+08   3.2842e+08
  3.3097e+00   3.4537e+00   1.2311e+00   1.5711e-03   3.3120e-05   9.1247e+08   9.1165e+08   9.1134e+08   8.1012e+08
