#   R_nom       meanR       meanlogR        xi        sigma_xi        DD           RR           DR         npairs   
  5.2455e-02   5.4693e-02  -2.9143e+00   1.8766e-01   3.2245e-03   1.1434e+05   9.6177e+04   9.6237e+04   9.7873e+04
  8.3136e-02   8.6660e-02  -2.4542e+00   1.3146e-01   2.0414e-03   2.7212e+05   2.3997e+05   2.4027e+05   2.3414e+05
  1.3176e-01   1.3737e-01  -1.9935e+00   9.5129e-02   1.2940e-03   6.5498e+05   5.9718e+05   5.9767e+05   5.6311e+05
  2.0883e-01   2.1779e-01  -1.5326e+00   6.8041e-02   8.2111e-04   1.5869e+06   1.4832e+06   1.4846e+06   1.3649e+06
  3.3097e-01   3.4533e-01  -1.0716e+00   4.3851e-02   5.1983e-04   3.8689e+06   3.7007e+06   3.7037e+06   3.3320e+06
  5.2455e-01   5.4708e-01  -6.1152e-01   2.7721e-02   3.2961e-04   9.4687e+06   9.2046e+06   9.2091e+06   8.1666e+06
  8.3136e-01   8.6729e-01  -1.5074e-01   1.6340e-02   2.0956e-04   2.3132e+07   2.2770e+07   2.2765e+07   1.9953e+07
  1.3176e+00   1.3743e+00   3.0957e-01   8.1724e-03   1.3362e-04   5.6445e+07   5.6007e+07   5.5997e+07   4.8745e+07
  2.0883e+00   2.1777e+00   7.6991e-01   3.4332e-03   8.5553e-05   1.3706e+08   1.3663e+08   1.3661e+08   1.1854e+08
  3.3097e+00   3.4497e+00   1.2299e+00   1.1160e-03   5.5142e-05   3.2907e+08   3.2888e+08   3.2879e+08   2.8485e+08
