# r, xi, jkerr
5.708543522386908681e-02 7.468384704487973647e-02 2.377660424005423878e-01
8.370709146901092468e-02 -1.230499224775394168e-01 1.258005116672964718e-01
1.347411701961988006e-01 -4.354765174783965798e-02 8.880314975052948367e-02
2.143363096762437303e-01 -6.076545771781085258e-03 5.819283961374493302e-02
3.373980776347551558e-01 -7.288500467311422905e-03 3.103544112225278470e-02
5.325968290456719600e-01 2.366400485218792329e-02 2.642922185553846573e-02
8.460321691800027910e-01 2.261973890827468497e-02 1.778364979847251587e-02
1.327761543599578653e+00 7.833632214726923837e-03 1.717470736812301557e-02
2.102292847985871127e+00 -4.119962294235433344e-03 1.330525500004848399e-02
3.314311155073785375e+00 -4.746658181699402873e-03 1.113589715193237344e-02
